fielder_name,player_id,team_name,primary_position,primary_position_name,total_throws,total_throws_1b,total_throws_2b,total_throws_3b,total_throws_ss,total_throws_lf,total_throws_cf,total_throws_rf,total_throws_inf,total_throws_of,max_arm_strength,arm_1b,arm_2b,arm_3b,arm_ss,arm_lf,arm_cf,arm_rf,arm_inf,arm_of,arm_overall
"Larnach, Trevor",663616,,7,Left Fielder,130,0,0,0,0,110,0,20,0,130,88.5,,,,,83.4,,,,83.1,83.1
"Cameron, Daz",663662,,7,Left Fielder,120,0,0,0,0,63,26,31,0,120,92.8,,,,,88.0,,,,88.3,88.3
"Happ, Ian",664023,,7,Left Fielder,493,0,0,0,0,493,0,0,0,493,93.4,,,,,84.7,,,,84.7,84.7
"Lukes, Nathan",664770,,7,Left Fielder,64,0,0,0,0,31,8,25,0,64,91.7,,,,,,,,,90.0,90.0
"Brown, Seth",664913,,7,Left Fielder,370,137,0,0,0,149,0,84,0,233,88.2,66.3,,,,78.7,,79.3,,78.9,78.9
"Jones, Nolan",666134,,7,Left Fielder,203,0,0,0,0,203,0,0,0,203,101.3,,,,,97.7,,,,97.7,97.7
"Kirilloff, Alex",666135,,7,Left Fielder,91,30,0,0,0,53,0,8,0,61,86.3,,,,,83.9,,,,83.7,83.7
"Carlson, Dylan",666185,,7,Left Fielder,225,0,0,0,0,95,60,70,0,225,92.0,,,,,86.7,85.9,87.4,,86.7,86.7
"Gurriel Jr., Lourdes",666971,,7,Left Fielder,362,1,0,0,0,361,0,0,0,361,95.3,,,,,86.7,,,,86.7,86.7
"Julks, Corey",667452,,7,Left Fielder,129,0,0,0,0,60,5,64,0,129,98.6,,,,,85.5,,87.5,,86.7,86.7
"Arozarena, Randy",668227,,7,Left Fielder,435,0,0,0,0,413,22,0,0,435,92.6,,,,,81.9,,,,82.0,82.0
"Steer, Spencer",668715,,7,Left Fielder,434,166,7,0,3,257,0,1,10,258,94.8,77.4,,,,88.5,,,,88.5,88.5
"Baddoo, Akil",668731,,7,Left Fielder,52,0,0,0,0,46,1,5,0,52,90.2,,,,,,,,,85.5,85.5
"Reynolds, Bryan",668804,,7,Left Fielder,353,0,0,0,0,291,0,62,0,353,100.4,,,,,87.5,,89.7,,88.2,88.2
"Melendez, MJ",669004,,7,Left Fielder,319,2,0,0,0,314,0,3,0,317,97.4,,,,,91.5,,,,91.5,91.5
