game_id,visit,inning,bat_team,outs,batter_id,runner_1b,runner_2b,runner_3b,event,col_7,col_8,team_iter,year,base_state,tagup_success,tagup_runs,re0,next_inning,next_bat_team,next_outs,next_base_state,re1,delta_run_exp,teamname,chosen_runner_strategy,adv_result
MIL202305260,SFN,6,0,1,yastm001,hanim001,confm001,,7/L7L,,,MIL,2023,110,False,0,0.443,6.0,0.0,2.0,110,0.443,0.0,SFN,[],[]
MIL202305270,SFN,1,0,1,confm001,davij006,,wadel001,9/SF/F9D.3-H,,,MIL,2023,101,True,1,0.498,1.0,0.0,2.0,100,1.227,0.7290000000000001,SFN,[3],[1]
MIL202305280,SFN,1,1,0,tellr001,contw002,millo002,,8/F8XD.2-3,,,MIL,2023,110,False,0,0.923,1.0,1.0,1.0,101,1.591,0.6679999999999999,MIL,[2],[1]
MIL202306060,BAL,1,1,1,tellr001,contw002,yelic001,,8/F8,,,MIL,2023,110,False,0,0.443,1.0,1.0,2.0,110,0.443,0.0,MIL,[],[]
MIL202306070,BAL,7,1,1,carav001,,monaa001,andeb006,9/SF/F9D.3-H;2-3,,,MIL,2023,011,True,1,0.59,7.0,1.0,2.0,001,1.369,0.779,MIL,"[3, 2]","[1, 1]"
MIL202306070,BAL,8,1,1,andeb006,contw002,tellr001,,9/F9LD,,,MIL,2023,110,False,0,0.443,8.0,1.0,2.0,110,0.443,0.0,MIL,[],[]
MIL202306090,OAK,4,0,0,smitk003,langs001,bledj001,,9/F9S,,,MIL,2023,110,False,0,0.923,4.0,0.0,1.0,110,0.923,0.0,OAK,[],[]
MIL202306090,OAK,4,0,1,ruize001,langs001,bledj001,,8/F89XD.2-3,,,MIL,2023,110,False,0,0.443,4.0,0.0,2.0,101,0.498,0.05499999999999999,OAK,[2],[1]
MIL202306110,OAK,6,1,1,andeb006,urial001,adamw002,,9/F89,,,MIL,2023,110,False,0,0.443,6.0,1.0,2.0,110,0.443,0.0,MIL,[],[]
MIL202306180,PIT,8,1,0,tellr001,adamw002,monaa001,,9/F9S,,,MIL,2023,110,False,0,0.923,8.0,1.0,1.0,110,0.923,0.0,MIL,[],[]
MIL202306210,ARI,9,0,1,moreg001,thoma004,rivee001,,8/L89,,,MIL,2023,110,False,0,0.443,9.0,0.0,2.0,110,0.443,0.0,ARI,[],[]
MIL202307030,CHN,8,1,0,millo002,adamw002,,yelic001,9/SF/F9.3-H,,,MIL,2023,101,True,1,1.591,8.0,1.0,1.0,100,1.526,-0.06499999999999995,MIL,[3],[1]
MIL202307040,CHN,5,0,1,manct001,,morec001,happi001,8/SF/F8.3-H,,,MIL,2023,011,True,1,0.59,5.0,0.0,2.0,010,1.327,0.737,CHN,[3],[1]
MIL202307060,CHN,5,1,1,turab002,carav001,tapir001,,7/F7LD,,,MIL,2023,110,False,0,0.443,5.0,1.0,2.0,110,0.443,0.0,MIL,[],[]
MIL202307070,CIN,5,0,1,maill001,bensw001,stees001,,7/F78D,,,MIL,2023,110,False,0,0.443,5.0,0.0,2.0,110,0.443,0.0,CIN,[],[]
